"","end_date","pollster","sample","yes","yes_adj"
"1",2025-12-03,"Ipsos",1061,0.522222222222222,0.495335175710627
"2",2025-11-05,"YouGov",1017,0.482352941176471,0.501268874514927
"3",2025-10-20,"YouGov",1242,0.48314606741573,0.502062000754186
"4",2025-10-08,"Find Out Now",1165,0.553191489361702,0.519779734864781
"5",2025-09-25,"Norstat",1010,0.531914893617021,0.519246132058959
"6",2025-09-21,"Find Out Now",1282,0.516129032258065,0.482717277761144
"7",2025-06-19,"YouGov",1178,0.477777777777778,0.496693711116234
"8",2025-06-18,"Ipsos",1066,0.51685393258427,0.489966886072675
"9",2025-05-30,"Norstat",1007,0.537634408602151,0.524965647044089
"10",2025-05-05,"Survation",1020,0.48314606741573,0.493352629603531
"11",2025-04-22,"Survation",1005,0.488888888888889,0.49909545107669
"12",2025-04-11,"Find Out Now",1112,0.559139784946237,0.525728030449316
"13",2025-03-21,"YouGov",1043,0.450549450549451,0.469465383887907
"14",2025-03-11,"YouGov",1012,0.438202247191011,0.457118180529467
"15",2025-01-20,"Find Out Now",1334,0.520833333333333,0.487421578836412
"16",2025-01-14,"Norstat",1013,0.505263157894737,0.492594396336675
"17",2024-12-24,"Find Out Now",1774,0.526315789473684,0.492904034976763
"18",2024-12-06,"Norstat",1013,0.542553191489362,0.5298844299313
"19",2024-11-15,"Survation",3016,0.483516483516484,0.493723045704285
"20",2024-11-01,"Norstat",1013,0.5,0.487331238441938
"21",2024-10-23,"Find Out Now",1058,0.516129032258065,0.482717277761144
"22",2024-09-13,"Survation",2059,0.461538461538462,0.471745023726263
"23",2024-09-13,"More in Common",949,0.478260869565217,0.48113993580729
"24",2024-09-11,"Opinium",1028,0.489130434782609,0.485617183426398
"25",2024-09-03,"YouGov",1063,0.43956043956044,0.458476372898896
"26",2024-08-22,"Norstat",1011,0.483870967741935,0.471202206183873
"27",2024-06-27,"Others",1200,0.48936170212766,0.494873980255256
"28",2024-06-26,"Norstat",1258,0.5,0.487331238441938
